H,W,num_pixels,PyTorch_HWC_ms,PyTorch_CHW_ms,CUDA_HWC_ms,CUDA_CHW_ms,CUDA_CHW_over_HWC,PyTorch_CHW_over_HWC
256,256,65536,0.09971712112426757,0.06952960014343262,0.015790079832077027,0.01581055998802185,1.001297026751139,0.6972684265201035
512,512,262144,0.07434239864349365,0.06977536201477051,0.015646719932556154,0.015503360033035278,0.9908377027173225,0.9385675373399747
1024,1024,1048576,0.07450431823730469,0.06864895820617675,0.015360000133514405,0.015749119520187378,1.0253332931829826,0.921409118697282
2048,2048,4194304,1.1139481353759766,0.5981593704223633,0.2549964714050293,0.25407487869262696,0.9963858609206458,0.5369723701009421
4096,4096,16777216,4.923576354980469,3.468001403808594,1.0385612487792968,1.0349158477783202,0.9964899508765022,0.7043663292233743
